job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
126,0.3197,0.0008,0.3204,0.0577,0.9978152309612983,0.0024968789013732834,17.0484,0.484,17.0482,0.0,0.0,0.0,0.0,17.0482,0.484,17.532200000000003,17.5342
127,0.1177,0.0162,0.1339,0.0241,0.8790141896938014,0.12098581030619866,6.6888,10.6919,9.6887,2.9999,0.0,0.0,0.0,9.688699999999997,10.691899999999999,20.380599999999994,20.8762
128,0.3273,0.0,0.3273,0.0589,1.0,0.0,17.454,0.0093,17.4545,0.0005,0.0,0.0,0.0,17.454499999999996,0.0093,17.463799999999996,17.4669
129,0.362,0.0048,0.3668,0.066,0.9869138495092693,0.013086150490730641,20.8536,2.7759,22.8534,1.9998,0.0,0.0,0.0,22.8534,2.7758999999999996,25.6293,25.628
130,0.2766,0.0001,0.2767,0.0498,0.9996385977593062,0.0003614022406938923,16.1472,0.0705,16.1474,0.0002,0.0,0.0,0.0,16.1474,0.07050000000000001,16.2179,16.2209
131,0.0829,0.0,0.0829,0.0149,1.0,0.0,4.2624,0.0082,4.2622,0.0,0.0,0.0,0.0,4.2622,0.0082,4.2704,4.2658
132,0.0688,0.0001,0.0689,0.0124,0.9985486211901305,0.001451378809869376,3.624,0.0408,3.6239,0.0,0.0,0.0,0.0,3.6239,0.040799999999999996,3.6647,3.66
133,0.2624,0.0074,0.2698,0.0486,0.9725722757598222,0.027427724240177913,14.9172,4.7318,14.9172,0.0,0.0,0.0,0.0,14.917200000000001,4.7318,19.649,20.15
134,0.2145,0.0,0.2146,0.0386,0.999534016775396,0.0,11.5848,0.0224,11.5852,0.0004,0.0,0.0,0.0,11.585200000000002,0.0224,11.607600000000001,11.6123
135,0.1255,0.0187,0.1442,0.026,0.8703190013869626,0.12968099861303747,6.9516,12.0949,7.9512,0.9996,0.0,0.0,0.0,7.9512,12.094899999999999,20.0461,20.546
136,0.1652,0.0047,0.1699,0.0306,0.9723366686286051,0.02766333137139494,8.9184,3.051,8.9184,0.0,0.0,0.0,0.0,8.9184,3.0509999999999997,11.9694,11.9698
